名称,主たる事業,区分,設備おむつ交換,設備授乳,設備その他,設備内容,箇所数,設置場所,特徴,郵便番号,市区町村,住所,電話番号,FAX,メール,営業時間,定休日,URL,PR（赤ちゃんの駅）
スーパーオートバックス　大宮バイパス,カー用品販売,買物,○,×,○,キッズスペース,2,【おむつ替え】多目的トイレ,,331-0046,さいたま市西区,さいたま市西区宮前町125-1,048-621-0189,048-621-0190,sa-omiyabp@buffalo.co.jp,平日）10:30～20:00　土・日・祝日）10:00～20:00,不定休（年に3回）,http://shop.buffalo.co.jp/omiya/,お子様連れでも安心してゆっくりお買い物ができるよう、キッズスペースを充実させています。キッズスペースとおむつ替えスペースを近くに配置しました。子育て世代の「あったらいいな」を実現して行きますので、ご意見・ご要望もお寄せ下さい。
鴻巣市役所本庁舎,行政全般,公共施設,○,○,×,,1,【おむつ交換+授乳】1階「赤ちゃんの駅」内(搾乳できます),正面玄関から入ってすぐ右側に赤ちゃんの駅があります。ベビーカーごと入れる広い室内に、授乳用ソファとおむつ交換台があります。,365-8601,鴻巣市,鴻巣市中央1-1,048-541-1321,048-542-9818,kanri@city.kounosu.lg.jp,8:30～17:15,土曜日・日曜日・祝日・年末年始,http://www.city.kounosu.saitama.jp/,市民の皆さんが利用する頻度の高い行政窓口である市役所新館には、入りやすい1階に赤ちゃんの駅が設置されています。スペースも広く、搾乳可能で鍵のかかる個室となっています。
ファンスタイル一級建築士事務所,建築会社,住宅,○,×,○,キッズスペース,1,【おむつ交換】キッズスペース,赤ちゃんやパパママの休憩場所にキッズスペースを気軽にご利用いただけます。,360-0046,熊谷市,熊谷市鎌倉町54,0120-836-087,048-577-7379,fun@funstyle1.com,9:00～18:00,水曜日,http://www.funstyle1.com,『しあわせをデザインしよう』をモットーに自然素材あふれる空間をつくる建築事務所です。赤ちゃんとパパママが楽しくお出かけできるよう、キッズスペースを気軽にご利用いただけたら嬉しいです。
(株)吉田自動車,自動車整備、及び販売,自動車,○,×,○,緊急事態の為のおしりふき・おむつ捨て用ビニール袋の用意有,1,【おむつ替え】ショールーム内キッズコーナー,ベビーベッド、おむつ交換マットがあります。,359-1146,所沢市,所沢市小手指南1-1-59,04-2922-2553,04-2925-1924,mailadm@lotas-yoshida.com,8:30～19:00,年末年始（12/30～1/3）、6月第1日曜日、翌月曜日,https://www.lotas-yoshida.com/,車の整備を待っているお母様やお父様が赤ちゃんを連れていらしても安心して利用できるように、女性スタッフで日々改良・改善していきます。
シダ鍼灸整骨院,鍼灸整骨,その他,○,○,○,キッズスペース,1,【おむつ替え＋授乳】院内の個室、またはカーテンで仕切られる治療ベッドを使用,,336-0025,さいたま市南区,さいたま市南区文蔵4-1-14,048-711-8657,048-711-8659,,(月～金)9:00～20:00、(土)9:00～19:00、(日)9:00～17:00,木、祝、第3日曜日、第3木曜日は14:00～20:00診療あり,http://hari-honetsugi.com,"当院では小さなお子さん連れの方でも気軽に受信できるよう駐車場3台、充実したキッズスペース、ベビーラック完備。土日診療。
午前中のみの予約ですが、保育士資格を持ったスタッフがお子様をお預かりします。
特に女性の方でお悩みの多い“肩こり”“冷え性、むくみ”に対応したコースをご用意しています。"
川島町子育て支援総合センター「かわみんハウス」,子育て支援センター、児童センター,教育・習い事,○,○,×,,3,"【おむつ替え+授乳】1F保健室、1F乳幼児室
【おむつ替え】1F多機能トイレ",おむつ交換用ベッドは設置場所各部屋に完備,350-0123,川島町,川島町大字畑中348,049-297-1064,049-297-8417,,9:00～17:00,毎週木曜日,,"平成29年4月、新規オープン!　
1階は子育て支援センター、2階は児童センターです。
子どもから保護者まで、多くの世代が交流できる複合施設です。"
かわせみ手洗い館,公衆トイレ,公共施設,○,×,×,,1,【おむつ替え】多目的トイレ内(JR高麗川駅外側トイレ),多目的トイレ内におむつ交換台1基が設置されています。ベビーカーのまま入れます。,350-1205,日高市,日高市大字原宿336-2,,,,,,,
寄居本町クリニック,診療所,その他,○,×,×,,1,【おむつ交換】待合室,おむつ交換台の設置場所はカーテンで仕切ることができます。,369-1203,寄居町,寄居町寄居808-1,048-580-2550,048-580-2555,,9:00～12:00、14:00～17:45,日曜日、祝祭日,http://www.yorii-hc.com,地域のホームドクターとしてお子様から幅広く診療しております。
行田市地域子育て支援センター　きっずプラザあおい,子育て支援事業,公共施設,○,○,○,ベビーチェア(大人用トイレ内)、子ども用トイレ、調乳用のお湯,3,"【おむつ換え】女子トイレ・男子トイレ
【授乳】多目的室(搾乳できます)",主に乳幼児から就学前の親子を対象とした施設ですので、設備も充実しています。お気軽にお越しください。,361-0032,行田市,行田市佐間1-11-3,048-553-5701,,,8:30～17:00,年末年始(12/29～1/3)。なお、毎週火曜日は屋外公園のみ開放しています。,https://www.city.gyoda.lg.jp/kosodate_kyoiku/kosodate_shisetsu/4240.html,"お子様と保護者が自由に遊んだり、他の子育て中の方と交流したりすることができる屋外公園を併設した施設です。
また、専門知識を持つスタッフが常駐していますので、子育てに関する様々な悩みや相談に応じています。"
パナソニックホームズ株式会社　川口展示場,住宅展示場(建築請負・不動産),住宅,○,○,×,,1,【おむつ交換+授乳】展示場内2Fの洋室1室,,332-0016,川口市,川口市幸町3-6-20,0120-91-8746,048-256-8747,,10時～17時,水曜日(祝日は営業します),,"いま話題の「グランピング」を楽しめる屋上やフラワーショップとカフェが併設されたイメージの店舗空間など、日々のくらしをより楽しくするヒントがいっぱいの住宅展示場です！
リラックス出来るインテリアとベビーカースペースやキッズコーナーが有り、パパママにもお子様にも心地よく過ごして頂けます。"
レクサスCPO浦和美園,自動車販売,自動車,○,○,○,キッズコーナー,3,【おむつ交換】多目的トイレ・授乳室　【授乳】授乳室,多目的トイレ内に折りたたみおむつ交換ベッドと、多目的トイレ隣に授乳室があります。紙おむつ4サイズ、おしり拭き等のご用意もありますので、お気軽にお立ち寄り下さい。,336-0967,さいたま市緑区,さいたま市緑区美園3-10-6,048-812-1701,048-812-0700,,10:00～19:00,月曜日,https://lexus.jp/,レクサスならではのおもてなしで、ご利用者の方々に”笑顔”でお帰りいただけるよう、全スタッフが心がけておりますので、お気軽にお立ち寄り下さい。
大和ハウス工業（株）　埼玉西支店,建設業,住宅,○,○,×,,1,【おむつ替え＋授乳】キッズコーナー内,,350-1124,川越市,川越市新宿町1-8-8,049-265-7386,049-257-5538,m00369713@daiwahouse.jp,8:00～18:00,定休日なし,,
あゆみホーム株式会社,不動産業,その他,○,○,×,,1,【おむつ替え＋授乳】洗面所内,おむつ交換、授乳可能,369-1224,寄居町,寄居町大字鉢形841番地1,048-580-1100,048-580-1101,info@ayumihome.com,9:00～18:30,水曜日　年末年始　夏季　ＧＷ,http://ayumihome.com,寄居町の不動産のことなら、なんでもご相談ください。
パル薬局　恵愛病院前店,薬局,買物,○,×,○,水素水サーバー、キッズスペース,1,"【おむつ替え】トイレ内(おむつ交換台あり)
",水素水サーバーがあります。キッズスペース等があります。,354-0017,富士見市,富士見市針ヶ谷184-1,049-293-2238,049-293-2238,,月～土　9:00～18:00,日・祝日,http://www.palhonest.co.jp,"全国どちらの処方箋でもお受けいたします。
"
パル薬局　中央公園店,薬局,買物,○,×,○,水素水サーバー、キッズスペース,1,"【おむつ替え】トイレ内(おむつ交換台あり)
",水素水サーバーがあります。キッズスペース等があります。,354-0015,富士見市,富士見市東みずほ台2-16-10,049-255-0220,049-255-0220,,(月・火・水・金)8:30～18:30　(木・土)8:30～16:30,日・祝日,http://www.palhonest.co.jp,"全国どちらの処方箋でもお受けいたします。
"
アイリス薬局,薬局,買物,○,×,○,キッズスペース,1,"【おむつ替え】洗面所(おむつ交換台あり)
",アロマオイル等も販売しております。キッズスペースあります。,336-0926,さいたま市緑区,さいたま市緑区東浦和1-21-11,048-874-3611,048-874-3611,,(月・火・木・金)9:00～18:30　(土)9:00～13:00,水・日・祝日,http://www.palhonest.co.jp,"全国どちらの処方箋でもお受けいたします。
"
パル薬局　嵐山店,薬局,買物,○,×,○,キッズスペース,1,"【おむつ替え】トイレ内(おむつ交換台あり)
",冷えたドリンク等も販売しております。キッズスペースがあります。,355-0221,嵐山町,嵐山町菅谷513-1,0493-61-0580,0493-61-0580,,(月・火・水・金)9:00～18:30　(木・土)9:00～13:00,日・祝日,http://www.palhonest.co.jp,"全国どちらの処方箋でもお受けいたします。
"
すみれ薬局　2号店,薬局,買物,○,×,○,マッサージチェア、給茶機,1,"【おむつ替え】トイレ内(おむつ交換台あり)
",マッサージチェア、給茶機等があります。,344-0067,春日部市,春日部市中央6-1-9,048-812-5766,048-812-5766,,(月～金)8:30～17:30,土・日・祝日,http://www.palhonest.co.jp,"全国どちらの処方箋でもお受けいたします。
"
くるみ薬局　2号店,薬局,買物,○,×,○,水素水サーバー、キッズスペース,1,"【おむつ替え】トイレ内(おむつ交換台あり)
",水素水サーバーがあります。キッズスペース等があります。,352-0003,新座市,新座市北野3-18-14,048-482-1111,048-482-1111,,(月・火・木・金)9:00～19:00　(土)9:00～13:00,水・日・祝日,http://www.palhonest.co.jp,"全国どちらの処方箋でもお受けいたします。
"
さくら薬局　南浦和店,調剤薬局,その他,○,○,×,,1,"【おむつ替え】トイレ内
【授乳】トイレ前仕切りスペース",お手洗いにおむつ交換台があります。,336-0017,さいたま市南区,さいたま市南区南浦和2-2-17　幸メゾン1F,048-885-1337,048-885-1337,sakura.minamiurawa@gmail.com,月・火・木・金）9:00～19:00　水）9:00～18:00　土）9:00～17:30,日曜・祝日,,"全国どこの医療機関の処方せんも受付いたします。
（在庫のない薬は数日のうちに取り寄せます。）"
さいたま市立土合公民館,公民館,公共施設,○,×,×,,1,【おむつ交換】1階多目的トイレ,1階多目的トイレ内におむつ交換台。,338-0832,さいたま市桜区,さいたま市桜区西堀4-2-35,048-862-5135,048-862-5135,tutiai-pub@city.saitama.lg.jp,9:00～21:30,年末年始(12月29日～1月3日),http://www.city.saitama.jp/tutiai/001/001/005/001/p034238.html,"親子連れが多数来館します。
敷地内に土合支所があります。"
さいたま市立栄和公民館,公民館,公共施設,○,×,○,お湯の提供,1,【おむつ交換】1階多目的トイレ,1階多目的トイレにおむつ交換台。,338-0835,さいたま市桜区,さいたま市桜区道場2-11-27,048-857-1127,048-857-1127,sakawa-pub@city.saitama.lg.jp,9:00～21:30,"年末年始
(12月29日～1月3日)",http://www.city.saitama.jp/sakura/001/001/005/004/p034015.html,公園に隣接した公民館です。
子育て支援センターきた,地域子育て支援拠点,教育・習い事,○,○,○,ベビーチェア,1,"【おむつ替え】手洗い場に専用台設置
【授乳】交流スペースの授乳室(搾乳できます)","設備は清潔に保ち、随時消毒し、安心してご利用いただけます。
トイレ内にベビーチェアがあります。",331-0812,さいたま市北区,さいたま市北区宮原町3-432-2　岸ビル201,048-662-0022,048-662-0022,saitamakita08@ybb.ne.jp,9:00～12:0013:00～16:00,第2・第4水曜第5日曜、祝日、年末年始,https://www.city.saitama.lg.jp/kosodate/map/category11/p105259.html,0歳から2歳までの子どもと親の交流の場です。気軽にご利用ください。
岩槻城址公園,公園・運動場,公共施設,○,×,○,ベビーチェア,1,【おむつ交換】多目的トイレ,多目的トイレにおむつ交換台・ベビーチェアあり。,339-0052,さいたま市岩槻区,さいたま市岩槻区太田3-1-1,048-757-9122,048-878-8310,iwatsuki-joshi@sgp.or.jp,常時開放,,http://www.sgp.or.jp/,岩槻城の城跡を生かして整備された、緑豊かな公園。
元町東公園,公園,公共施設,○,×,×,ベビーチェア,1,【おむつ交換】多目的トイレ,多目的トイレにおむつ交換台あり。ベビーチェアあり,330-0073,さいたま市浦和区,さいたま市浦和区元町2-76-1,048-711-2290,048-836-5200,besshonuma@spg.or.jp,常時開放,なし,http://www.sgp.or.jp/,地域に根付いた笑顔とふれあいの公園。
竹國　武蔵野うどん　大井武蔵野店,製造業・飲食店,飲食,○,×,×,,1,【おむつ替え】店内トイレ,トイレ（１室）におむつ交換台（１台）が設備されております。,356-0053,ふじみ野市,ふじみ野市大井武蔵野406-2,049-265-3635,049-265-3635,,11:00～18:00,無し,http://www.daishinfoods.com,お近くにお越しの際は、ぜひお立ち寄りご利用ください。
越谷どうぶつ病院,動物病院,その他,○,○,×,,1,【おむつ替え+授乳】診療室奥の一室,ドア付きの1.5畳ほどのお部屋でおむつ替えや授乳ができます。,343-0818,越谷市,越谷市越ケ谷本町9-14,048-964-5121,048-964-5123,,9:00～12:00/15:00～19:00(15:00～16:00猫の予約時間),木曜日、日祝の午後,http://koshigayavet.jp,"どうぶつと人に優しい動物病院を目指しています。赤ちゃんや小さなお子様にもリラックスできるよう診察室内に簡易キッズスペースを設けております。
お子様を連れてお越しくださいませ。"
レインボー薬局,薬局,買物,○,×,×,,1,"【おむつ替え】トイレ内(おむつ交換台あり)
",車イスでもご利用いただけるトイレです。,331-0822,さいたま市北区,さいたま市北区奈良町124-1,048-668-1112,048-668-1112,,(月・火・水・金)9:00～18:30　(木)9:00～18:00　(土)9:00～16:00,水・日・祝日,http://www.palhonest.co.jp,"全国どちらの処方箋でもお受けいたします。
"
ジャパンエレベーターサービスホールディングス(株),サービス業,その他,○,○,×,,1,【おむつ替え+授乳】1F　だれでもトイレ内,,351-0115,和光市,和光市新倉5-6-50　JES Innovation Center,048-486-9200,,,9:00～18:00,土日祝,http://www.jes24.co.jp,
埼玉りそな銀行　浦和中央支店浦和美園出張所,銀行業,金融,○,○,○,調乳器,2,【おむつ替え】みんなのトイレ、授乳室　【授乳】授乳室,みんなのトイレ:おむつ交換台、授乳室:調乳器、ベビーシート、授乳イス,336-0967,さいたま市緑区,さいたま市緑区美園4丁目13番地13,048-812-3601,,,9:00～17:00,土日祝日、年末年始(12月31日～1月3日),http://www.saitamaresona.co.jp,2017年11月6日(月)新設店舗オープン
名倉堂浦和三室接骨院,接骨院,その他,○,○,○,キッズスペース,1,【おむつ替え+授乳】院内の一部屋,人の目を気にせずに、おむつ交換・授乳ができます。,336-0911,さいたま市緑区,さいたま市緑区三室2459-57　岡崎ビル1F,048-810-5555,048-810-5555,naguradouurawamimuro@gmail.com,9:00～13:00/15:00～21:00(平日) ～18:00(土曜),祝日,https://naguradou-urawamimuro.jimdo.com/,"キッズスペースもあるので、お母さんはゆっくり治療できます。赤ちゃんの為にバウンザーもあります。
駐車場6台完備。"
八潮市文化スポーツセンター,スポーツ施設,公共施設,○,×,×,,2,【おむつ交換】文化スポーツセンター2階男・女更衣室,,340-0815,八潮市,八潮市八潮三丁目31番地,048-996-5126,048-996-7129,,9:00～21:00,年末年始,,
島忠　草加店,小売業,買物,○,×,×,,1,【おむつ替え】2Fトイレ横,2階トイレ横におむつ交換台がございます。,340-0044,草加市,草加市花栗2-7-21,048-944-0511,048-944-0515,,10:00～20:00,無,http://www.shimachu.co.jp/,ご来店お待ち申し上げております。
高麗川コミュニティパーク,官公庁,公共施設,○,○,×,,1,【おむつ交換＋授乳】公園管理棟内　1階（1か所）,授乳室には、お湯の利用ができ、おむつ交換台が1台あります。,350-0259,坂戸市,坂戸市西インター1丁目115番,049-289-8335,,sakado62@city.sakado.lg.jp,9:00～18:00,月曜日（祝日の場合はその翌日）及び１２月２９日から１月３日,http://www.city.sakado.lg.jp/,
学校法人こひつじ学園　新所沢こひつじ幼稚園,幼稚園(学校),教育・習い事,○,○,×,,2,【おむつ交換+授乳】1階・2階 トイレ,1階と2階のトイレにそれぞれおむつ交換台があります。,359-1111,所沢市,所沢市緑町2-19-4,04-2922-4015,04-2924-1098,kohituji@mc.jnc.ne.jp,8:00～18:00,土曜、日曜祝日他、保育を行わない日,http://www.shintoko-kohitsuji.ed.jp/,
幸町歯科口腔外科医院,歯科,その他,○,×,×,,1,【おむつ交換】院内トイレ,お手洗いにおむつ交換台があります,353-0005,志木市,志木市幸町1-12-16,048-456-7500,048-456-7501,usagisanteam0831@gmail.com,平日)9:00～12:30／15:00～19:00　土)9:00～12:30／15:00～17:00,日・祝日,http://happy-town-dental.com/,
エフプロダクツ　(株)いのうえ工務店,建築業,住宅,○,○,×,,1,【おむつ替え+授乳】展示場内個室,展示場の為、オムツ交換・授乳できるスペースがあります(随時、空いているお部屋をご案内いたします),368-0001,秩父市,秩父市黒谷368-1,0494-25-3567,0494-25-3478,info@f-products.jp,9時00分～19時00分,年中無休,http://www.tochi-tatemono.jp/,"彩ハウス赤ちゃんの駅にお立ち寄り頂きありがとうございます。
ショールームもご覧いただけます。
ご利用の際はスタッフにお声がけください。"
カインズホームスーパーセンター上里本庄店,小売業,買物,○,○,×,,1,【おむつ交換+授乳】子供の遊び場(正面入り口)のトイレに隣接,おむつ交換台が2台あります。,369-0305,上里町,上里町神保原町北稲塚1845,0495-35-1111,0495-33-3522,,10:00～20:00,45658,http://www.cainz.com/,お買物に是非ご利用下さい。
ヤオコー東松山新宿町店,食品スーパーマーケット,買物,○,○,×,,3,【おむつ交換+授乳】授乳室/【おむつ交換】女子トイレ・多目的トイレ,授乳室内に温水器・ベビーベッドを設置しております。,355-0032,東松山市,東松山市新宿町17番地1,0493-27-3211,0493-24-0820,,9:30～22:00,年中無休,http://www.yaoko-net.com/,
カインズホームなめがわモール店,小売業,買物,○,○,×,,1,【おむつ交換+授乳】正面入口左側フードコート奥,おむつ交換台が2台あります。,355-1811,滑川町,滑川町大字羽尾2740,0493-57-1188,0493-56-6800,,9:30～20:00,45658,http://www.cainz.com/,お買物に是非ご利用下さい。
カインズホーム寄居桜沢店,小売業,買物,○,○,×,,1,【おむつ交換+授乳】正面入口左側,おむつ交換台が1台。広いスペースがあります。,369-1202,寄居町,寄居町大字桜沢2991,048-580-1111,048-580-1001,,9:30～20:00,45658,http://www.cainz.com/,お買物に是非ご利用下さい。
カインズホーム深谷川本店,小売業,買物,○,○,×,,1,【おむつ交換+授乳】正面入口右側,おむつ交換台が2台あります。,369-1101,深谷市,深谷市長在家1768,048-583-7788,048-583-6911,,9:30～20:00,45658,http://www.cainz.com/,お買物に是非ご利用下さい。
カインズホーム東松山高坂店,小売業,買物,○,○,×,,1,【おむつ交換+授乳】正面入口右側,おむつ交換台が2台あります。,355-0048,東松山市,東松山市あずま町3-1,0493-35-2000,0493-35-2100,,9:30～20:00,43466,http://www.cainz.com/,お買物に是非ご利用下さい。
カインズホーム本庄早稲田店,小売業,買物,○,○,×,,1,【おむつ交換+授乳】正面入口右側,おむつ交換台が2台あります。,367-0030,本庄市,本庄市早稲田の杜2-1-1,0495-23-5000,0495-23-5001,,9:00～20:00,43466,http://www.cainz.com/,お買物に是非ご利用下さい。
カインズホーム嵐山店,小売業,買物,○,○,×,,1,【おむつ交換+授乳】正面入口右側。トイレに隣接しています。,おむつ交換台が2台あります。,355-0215,嵐山町,嵐山町大字平澤字遠道800-1,0493-63-1111,0493-62-0500,,9:30～20:00,45658,http://www.cainz.com/,お買物に是非ご利用下さい。
なつめ薬局東川口店,調剤薬局,その他,○,×,×,,1,【おむつ交換】トイレ内,"おむつ交換台1台あります。
乳幼児のスキンケア相談等もお受け致します。",333-0811,川口市,川口市戸塚2-25-10　コモンズビル201,048-229-2443,050-3322-6075,info@kusuri.tokyo,(月・火・水・金)9:00～19:00　(木・土)9:00～14:00,日曜・祝日,https://kusuri.tokyo/pharmacy/natsume-higashikawaguchi,"皮膚科に隣接する調剤薬局です。
東川口駅から徒歩3分程度ですので、お気軽にご利用ください。"
入間ガス株式会社,ガス事業,その他,○,○,×,,1,【おむつ替え+授乳】１階授乳・おむつ替え室,,358-0023,入間市,入間市扇台1丁目5番25号,04-2964-1571,04-2964-1575,,9:00～17:30,年末年始、お盆、ＧＷなど,http://www.irumagas.co.jp,
さいたま市宝来グラウンド・ゴルフ場,グラウンドゴルフ場,遊び,○,○,×,,1,【おむつ替え＋授乳】グラウンドゴルフ場　管理事務所内,管理事務所内にオムツが替えられるベッドがあり、授乳スペースとしても利用できます。,331-0074,さいたま市西区,さいたま市西区宝来125‐1,048-622-0562,048-622-0562,info-horai@saispo.jp,9:00～17:00,年末年始（12／29～1／3）,http://www.saispo.jp/horai/,子どもから高齢者まで楽しくグラウンドゴルフを体験していただける施設となっております。ぜひ、ご家族でお越し下さい。
島忠　春日部本店,小売業,買物,○,×,×,,1,【おむつ替え】1F多目的トイレ,1階多目的トイレ内におむつ交換台があります。設備は清潔を保ち安心してご利用いただけます。,344-0059,春日部市,春日部市西八木崎2-8-1,048-755-1005,048-755-1007,,10:00～20:00,無,http://www.shimachu.co.jp/,ホームセンターと食品スーパー「ベルクス」、100円ショップ「ダイソー」が揃って便利にご利用頂けるお店です。ご来店お待ちしております。
アパマンショップふじみ野店　(株)渡辺住研,不動産,その他,○,×,○,キッズスペース,1,【おむつ替え】トイレ内,トイレ内におむつ交換台があります。,354-0036,富士見市,富士見市ふじみ野東1-2-1　メローウィンドふじみ野1F,049-264-7770,049-263-1688,fujiminoi@apamanshop-fc.com,10:30～18:00,毎週水曜日、第1・第3火曜日,http://www.apamanshop-fujimino.jp/,ふじみ野駅徒歩1分でふじみ野駅東口では一番駅チカのお店です！キッズスペース、無料駐車場3台完備しておりますので、安心して理想のお部屋探しが出来ます！！皆様のご来店、心よりお待ちしております。
朝霞台駅前整骨院,,その他,○,○,×,,1,【おむつ交換+授乳】整骨院室内,朝霞台駅徒歩1分。施術ベット2台・ベビーベット1台、カーテン仕切り有。,351-0022,朝霞市,朝霞市東弁財1-5-8　Kステージ3F　2号室,048-474-3333,048-474-3333,hurukawa.takeshi@sepia.plala.or.jp,10:00～13:00/15:00～20:30,木・日・祝,http://www.asakadaiekimae.jp,"「朝霞台」駅より徒歩1分。便利な駅近整骨院です。産後骨盤矯正など、お子様連れのママさんも多く通って頂いています。お気軽にお立ち寄りください。
"
不二家　所沢北野店,洋菓子販売,買物,○,×,×,,1,【おむつ交換】店舗1階の男女お手洗い,おむつ交換台が1台あります,359-1152,所沢市,所沢市北野3-33-3,04-2949-1581,04-2949-1581,fujiya1179@yahoo.co.jp,9:00～21:00,年中無休,http://228tokokita.crayonsite.net/,店内でゆったりとお食事いただけるイートインスペース(お子様用のイス2脚有り)や、お子様が遊べるキッズスペースもご用意しております。
(株)東武ストア　朝霞店,食品スーパーマーケット,買物,○,×,×,,1,【おむつ交換】1階多目的トイレ,,350-0011,朝霞市,朝霞市本町2-3-23,048-450-2355,048-467-3022,,6時～翌2時,なし,http://www.tobustore.co.jp,東武東上線、朝霞駅南口から徒歩5分。駐車場完備、1時間無料です。
(株)東武ストア　大宮堀の内店 ,食品スーパーマーケット,買物,○,×,×,,1,【おむつ交換】多目的トイレ,,330-0804,さいたま市大宮区,さいたま市大宮区堀の内町3-158-1,048-657-2232,048-643-6302,,9時～21時,なし,http://www.tobustore.co.jp,"「お客様のより良い暮らしに貢献します」を経営理念に、地域の方に愛されるスーパーを目指しています。
また、平成30年3月の改装によりインストアベーカリーコーナーも新設されました。"
(株)東武ストア　かぞマイン ,食品スーパーマーケット,買物,○,×,×,,1,【おむつ交換】1階女子トイレ前,大きく余裕のあるベビーベッドです。,347-0055,加須市,加須市中央1-1-15,0480-62-3311,0480-62-3310,,9時～22時,なし,http://www.tobustore.co.jp,"お客様のより良い暮らしに貢献します。
駅直結の便利なスーパー。店内焼き上げのベーカリーが100円とお得でおいしい。焼き立てを店内で召し上がれます。"
(株)東武ストア　川越マイン ,食品スーパーマーケット,買物,○,×,×,,4,【おむつ交換】B1多目的トイレ・女子トイレ、2階女子トイレ、3階女子トイレ,,350-1122,川越市,川越市脇田町103,049-225-3101,049-225-3105,,1F食品フロア:9時～翌1時、B1・2Fフロア:10時～21時,なし,http://www.tobustore.co.jp,川越駅から近く、おむつ交換台は複数ヶ所設置しています。
(株)東武ストア　蒲生店,食品スーパーマーケット,買物,○,×,×,,1,【おむつ交換】女子トイレ,,343-0836,越谷市,越谷市蒲生寿町16-20,048-988-8701,048-988-8706,,6時～翌1時,なし,http://www.tobustore.co.jp,東武スカイツリーライン蒲生駅東口駅前にあり、ご利用には便利です。
(株)東武ストア　草加中根店 ,食品スーパーマーケット,買物,○,×,×,,1,【おむつ交換】女子トイレ,,340-0005,草加市,草加市中根3-2-25,048-933-2830,048-935-6951,,9時～21時,なし,http://www.tobustore.co.jp,お客様のより良い暮らしに貢献します。
(株)東武ストア　草加谷塚店 ,食品スーパーマーケット,買物,○,×,×,,1,【おむつ交換】店外多目的トイレ,,340-0023,草加市,草加市谷塚町983-3,048-923-1166,048-928-2651,,8時～24時,なし,http://www.tobustore.co.jp,
(株)東武ストア　鶴瀬駅ビル店 ,食品スーパーマーケット,買物,○,×,×,,2,【おむつ交換】1階女子トイレ、2階女子トイレ,鶴瀬駅ビルの中にあり便利です,354-0021,富士見市,富士見市大字鶴馬2602-3,049-254-1221,049-254-1222,,平日10時～21時、土日祝10時～20時、※2階お客様トイレは7時～21時,なし,http://www.tobustore.co.jp,駅ナカにあり、食料品を中心に販売している便利なお店です。
(株)東武ストア　とろマイン ,食品スーパーマーケット,買物,○,×,×,,1,【おむつ交換】2階女子トイレ,JR宇都宮線土呂駅西口駅前,331-0804,さいたま市北区,さいたま市北区土呂町1-6-2,048-652-2311,048-651-7302,,6時～翌1時(おむつ交換のできる2階は10時～21時),なし,http://www.tobustore.co.jp,土呂駅西口駅前の4階建てのスーパーです。スポーツジムや100円ショップもあります。駐車場も隣接していてとても便利です。
(株)東武ストア　西川口店,食品スーパーマーケット,買物,○,×,×,,1,【おむつ交換】1階女子トイレ,JR西川口駅東口徒歩2分の場所にありご利用に便利です,332-0034,川口市,川口市並木2-22-1,048-255-7411,048-255-7413,,24時間営業,なし,http://www.tobustore.co.jp,24時間営業で、駅ご利用のお客様には大変便利なお店です。
(株)東武ストア　蓮田マイン ,食品スーパーマーケット,買物,○,×,×,,4,【おむつ交換】地下休憩所、各フロア(地階～3階)踊り場女子トイレ,,349-0111,蓮田市,蓮田市東5-8-65,048-769-5595,048-769-5599,,9時～22時,なし,http://www.tobustore.co.jp,"蓮田駅前の総合スーパー。
家電、ドラッグストアもあります。"
(株)東武ストア　松原店 ,食品スーパーマーケット,買物,○,×,×,,1,【おむつ交換】女子トイレ,,340-0041,草加市,草加市松原1-1-9,048-942-1548,048-942-1545,,6時～翌1時,なし,http://www.tobustore.co.jp,
(株)東武ストア　みずほ台店 ,食品スーパーマーケット,買物,○,×,×,,2,【おむつ交換】1階、3階女子トイレ,駅直結,354-0015,富士見市,富士見市東みずほ台2-29-1,049-253-7161,049-254-7099,,6時～翌1時(トイレ使用時間8時～21時),なし,http://www.tobustore.co.jp,駅直結でついで買いに便利。食品だけでなく衣料品、生活雑貨品、100円均一のお店もあります。
大宮名倉堂接骨院　腰痛専門整体院～Happy Body care～,接骨・整体,その他,○,○,×,,1,【おむつ替え+授乳】腰痛専門整体院～Happy Body care～個室内,,330-0852,さいたま市大宮区,さいたま市大宮区大成町3-567-1　ロワール三田部1F,048-652-0101,048-652-0101,happy-nagurado@happy-nagurado.sakura.ne.jp,月～金 9:30～13:30　16:00～20:00　土・祝祭日 9:00～14:00,日曜日,http://happy-nagurado.sakura.ne.jp,"頑張るママの産後骨盤矯正。
腰痛・肩こり お身体のケアはお任せください！"
ママズスマイル所沢店,託児サービス(一時預かり託児・月極託児),その他,○,○,×,,1,【おむつ交換+授乳】保育室内スペース,インターホンを押してからお入りください。スタッフがご案内いたします。,359-0037,所沢市,所沢市くすのき台3-15-3,04-2998-6766,,tokorozawa@mamas-smile.com,9:00～18:00(託児状況により変動あり),原則年末年始以外営業(託児状況により不定休あり),https://mamas-smile.com/branch-index/tokorozawa/,託児理由を問わず、必要な時にお気軽にご利用いただける託児所です。0歳～小学校6年生まで!事前面接なし!土日祝日もご利用OK!当日のご利用希望もお気軽にご連絡くださいね(^^)
